date,BYR,EUR,KZT,UAH,USD
01/01/2003,0.0164252,33.2719,0.203925,5.9418999999999995,31.7844
01/02/2003,0.0162562,34.429,0.205576,5.94182,31.8345
01/03/2003,0.015988699999999998,33.9409,0.20819400000000002,5.89454,31.5729
01/04/2003,0.0156963,33.9815,0.206202,5.85471,31.3801
01/05/2003,0.015331,34.5513,0.204875,5.77205,31.1021
01/06/2003,0.0150078,36.4669,0.204125,5.63882,30.709
01/07/2003,0.0147152,34.7223,0.205946,5.64921,30.3809
01/08/2003,0.014570399999999999,34.3395,0.20635799999999999,5.64751,30.2791
01/09/2003,0.014517200000000001,33.2001,0.206829,5.67055,30.5036
01/10/2003,0.0144789,35.6043,0.205656,5.6789700000000005,30.6142
01/11/2003,0.0140383,34.7992,0.20292300000000002,5.5546500000000005,29.9451
01/12/2003,0.0138432,35.5021,0.202809,5.51687,29.7387
01/01/2004,0.013575100000000001,37.0979,0.20567,5.474,29.4545
01/02/2004,0.0131915,35.3635,0.204323,5.27896,28.4937
01/03/2004,0.0132329,35.5076,0.20509799999999997,5.2939,28.5156
01/04/2004,0.013260999999999998,34.9082,0.205346,5.2941,28.5151
01/05/2004,0.0134213,34.6289,0.209668,5.40129,28.9612
01/06/2004,0.013446,35.3907,0.21172000000000002,5.43363,28.9993
01/07/2004,0.0134428,35.0889,0.21367899999999998,5.443,29.0471
01/08/2004,0.013455199999999999,35.0532,0.213478,5.455,29.1019
01/09/2004,0.0135205,35.3713,0.21452100000000002,5.47267,29.2591
01/10/2004,0.0134572,36.0312,0.217488,5.43157,29.2224
01/11/2004,0.013208399999999999,36.6472,0.217885,5.34595,28.7655
01/12/2004,0.0128957,37.3264,0.21645199999999998,5.25728,28.1496
01/01/2005,0.0127492,37.8409,0.21343800000000002,5.1233699999999995,27.7487
01/02/2005,0.0129161,36.5899,0.216228,5.28382,28.1136
01/03/2005,0.0128099,36.72,0.212837,5.22822,27.7007
01/04/2005,0.0129155,36.0274,0.21023499999999998,5.32108,27.8548
01/05/2005,0.012898699999999999,36.0072,0.211391,5.46974,27.7726
01/06/2005,0.0131016,34.9134,0.21324,5.5555900000000005,28.1946
01/07/2005,0.013303800000000001,34.6258,0.21209,5.67558,28.6282
01/08/2005,0.0133166,34.716,0.210728,5.6852,28.6341
01/09/2005,0.0132644,34.879,0.211038,5.65612,28.5566
01/10/2005,0.0132558,34.3074,0.213347,5.59429,28.5348
01/11/2005,0.0132476,34.3946,0.212574,5.54059,28.503
01/12/2005,0.013381800000000001,33.9393,0.21463100000000002,5.66375,28.7792
01/01/2006,0.013363400000000001,34.185,0.215337,5.67232,28.7825
01/02/2006,0.0130756,34.0492,0.213002,5.49284,28.1305
01/03/2006,0.0130665,33.3291,0.215807,5.50315,28.1211
01/04/2006,0.0128746,33.6273,0.215729,5.42258,27.6996
01/05/2006,0.0126848,34.1906,0.21917,5.37279,27.2739
01/06/2006,0.0125603,34.7064,0.222155,5.3830100000000005,26.9355
01/07/2006,0.012571500000000001,34.2383,0.22770700000000002,5.34824,26.9423
01/08/2006,0.0125158,34.2112,0.22661,5.32,26.8197
01/09/2006,0.012478,34.318,0.213213,5.290979999999999,26.7295
01/10/2006,0.012505200000000001,33.9783,0.21049199999999998,5.29896,26.7799
01/11/2006,0.0125036,33.9852,0.209511,5.28414,26.7811
01/12/2006,0.0122874,34.6899,0.205628,5.20303,26.3081
01/01/2007,0.012290599999999999,34.6965,0.207609,5.21987,26.3311
01/02/2007,0.0123467,34.3802,0.21032299999999998,5.23823,26.5484
01/03/2007,0.0121718,34.539,0.21000800000000003,5.16567,26.1481
01/04/2007,0.0121237,34.6861,0.210061,5.13966,26.0113
01/05/2007,0.011947900000000001,35.0653,0.213842,5.082330000000001,25.6851
01/06/2007,0.012049200000000001,34.8128,0.211337,5.13709,25.9043
01/07/2007,0.0120187,34.715,0.21101099999999998,5.11465,25.8162
01/08/2007,0.0118917,35.0015,0.206631,5.07778,25.5448
01/09/2007,0.011914300000000001,35.0233,0.202803,5.095280000000001,25.6262
01/10/2007,0.011601,35.3457,0.206255,4.95517,24.9493
01/11/2007,0.011457499999999999,35.6492,0.204098,4.877129999999999,24.6724
01/12/2007,0.0113252,36.0055,0.20202,4.81239,24.4171
01/01/2008,0.011389699999999999,35.9332,0.203492,4.82357,24.5462
01/02/2008,0.0113498,36.29,0.203185,4.7900100000000005,24.4262
01/03/2008,0.011176199999999999,36.5099,0.198601,4.70975,24.0023
01/04/2008,0.010944200000000001,37.0873,0.194725,4.66203,23.5027
01/05/2008,0.0110478,36.8959,0.19649899999999998,4.73583,23.6588
01/06/2008,0.0111144,36.7827,0.196848,4.93501,23.7384
01/07/2008,0.011014300000000001,36.971,0.193826,4.96359,23.4068
01/08/2008,0.0110752,36.5752,0.19483,5.01576,23.4186
01/09/2008,0.0116368,36.2264,0.20550999999999997,5.285349999999999,24.5769
01/10/2008,0.0120046,36.4999,0.211555,5.0052900000000005,25.3718
01/11/2008,0.0128214,34.4092,0.226138,4.52767,27.0981
01/12/2008,0.012888,35.7166,0.22933299999999998,3.74319,27.606
01/01/2009,0.0133537,41.4275,0.242475,3.82952,29.3916
01/02/2009,0.013005699999999999,45.6636,0.290212,4.5564,35.4146
01/03/2009,0.0125291,45.3543,0.23705400000000001,4.2024099999999995,35.7205
01/04/2009,0.011946199999999999,44.8946,0.224651,4.21158,33.9032
01/05/2009,0.0116681,43.9939,0.21861,4.060840000000001,32.974
01/06/2009,0.0111214,43.378,0.205889,4.05288,30.9843
01/07/2009,0.0109368,43.8512,0.206222,4.05732,31.0385
01/08/2009,0.010931,43.9978,0.20668299999999998,3.8796100000000004,31.1533
01/09/2009,0.011266700000000001,45.4321,0.211097,3.7657800000000003,31.8397
01/10/2009,0.0108531,43.8877,0.198812,3.60898,30.0087
01/11/2009,0.0105863,43.0678,0.19267600000000001,3.5339199999999997,29.0488
01/12/2009,0.0104451,43.7658,0.195486,3.6267899999999997,29.0687
01/01/2010,0.0105395,43.4605,0.20323899999999998,3.7497,30.1851
01/02/2010,0.010540800000000001,42.4637,0.205686,3.7896900000000002,30.4312
01/03/2010,0.0102178,40.8047,0.203281,3.7332799999999997,29.9484
01/04/2010,0.009901199999999999,39.5713,0.20069099999999998,3.6999000000000004,29.4956
01/05/2010,0.0098426,38.6986,0.199042,3.65885,29.1537
01/06/2010,0.0102433,37.8133,0.209579,3.8788600000000004,30.74
01/07/2010,0.0103529,38.2097,0.21180800000000002,3.94569,31.2554
01/08/2010,0.0101434,39.4694,0.20435199999999998,3.82316,30.1869
01/09/2010,0.0102446,39.0127,0.20948699999999998,3.91364,30.8669
01/10/2010,0.010133699999999999,41.4392,0.206746,3.8438600000000003,30.5126
